companyLabel,executiveLabel,universityLabel,degreeLabel
Ola Cabs,Bhavish Aggarwal,Indian Institute of Technology Bombay,Bachelor of Technology
IBM,Arvind Krishna,Indian Institute of Technology Kanpur,
Oakpont,Brenton Avery,Knox Grammar School,
Central Norway Regional Health Authority,Jan C Frich,Harvard University,
Sanofi,Paul Hudson,Manchester Metropolitan University,
EyeMail Inc.,Lisa S. Jones,Harvard University,
Prüvit,Brian Underwood,University of Kentucky,
Atheric Pharmaceutical,Robert Malone,"University of California, Davis",
Trendy Group,Jacky Xu,Harvard Extension School,
Electric Reliability Council of Texas,Bill Magness,University of Texas at Austin,
Eli Lilly and Company,Sidney Taurel,Columbia Business School,
Oakpont,Brenton Avery,Bond University,
Mylan,Heather Bresch,West Virginia University,
Avon Products Inc.,Sheri McCoy,Princeton University,
Bausch Health,Joseph C. Papa,University of Connecticut,
Gojek,Kevin Aluwi,University of Southern California,
SBI Holdings,Yoshitaka Kitao,Q125102234,
EyeMail Inc.,Lisa S. Jones,Tuck School of Business,
Gojek,Kevin Aluwi,Jakarta Intercultural School,
Simon Property Group,David Simon,Indiana University Kelley School of Business,
Electric Reliability Council of Texas,Bill Magness,University of Pennsylvania Carey Law School,
Bausch Health,Joseph C. Papa,Kellogg School of Management,
Novartis,Vasant Narasimhan,Harvard Medical School,
Novartis,Vasant Narasimhan,John F. Kennedy School of Government,
Avon Products Inc.,Sheri McCoy,University of Massachusetts Dartmouth,
Simon Property Group,David Simon,Indiana University,
Merck & Co.,Rob Davis,Kellogg School of Management,
Avon Products Inc.,Sheri McCoy,Rutgers University,
Atheric Pharmaceutical,Robert Malone,Harvard Medical School,
Radio Televisión Madrid,José Antonio Sánchez Domínguez,Complutense University of Madrid,
Atheric Pharmaceutical,Robert Malone,"University of California, San Diego",
Viatris,Scott A. Smith,University of Western Ontario,
Waste Agency of Catalonia,Josep Maria Tost i Borràs,Rovira i Virgili University,
JKMM Architects,Samppa Lappalainen,Helsinki University of Technology,
BioNTech,Uğur Şahin,Erich Kastner Gymnasium,
SBI Holdings,Yoshitaka Kitao,Kobe High School,
Merck KGaA,Belén Garijo,University of Alcalá,
An Túr Gloine,Catherine O'Brien,National College of Art and Design,
Trendy Group,Jacky Xu,Nanyang Technological University,
Central Norway Regional Health Authority,Jan C Frich,University of Oslo,
National Bank of Czechoslovakia,Vilém Pospíšil,"Faculty of Law, Charles University in Prague",
Embrapa Tropical Agroindustry,Gustavo Adolfo Saavedra Pinto,Federal University of Rio de Janeiro,
Q111534396,Ismaël Condé,Q111534339,
Q139837840,Werner Kirchert,Stadtgymnasium Halle (Saale),Doctor of Medicine
Mylan,Heather Bresch,Fairmont Senior High School,
Mundipharma,Marc Princen,Katholieke Universiteit Leuven,
